,business_id,name,complaint_words,complaint_coeff,complaint_sample_reviews,complaint_stars,praise_words,praise_coeff,praise_sample_reviews,praise_stars
0,GBTPC53ZrG1ZBY3DT8Mbcw,Luke,poor,-1.046264847,"Wanted to eat here, tried to eat here, reservations are merely a stab at a time you may be seated and expect the curly haired blonde at the desk to treat you poorly.

We had a handicapped person in our party and even after asking for a chair for her 2x we were ignored.  No worries, thanks in part to the poor service we found The Pelican Club which we enjoyed immensely.",1,best oyster,0.367092317,"We went here for the happy hour raw oysters.  Heaven! $.75 each and they were perfection. Cold, crisp, huge, not a speck of grit in the two dozen we had.  We're in love.  The service was expedient. Not super friendly but the oysters made up for it. I was reading an article about the best oyster happy hours and we had decided to try the Blind Pelican too. By contrast Luke is like Nordstrom and the Blind Pelican is an extra dirty Walmart.  Don't waste your time going anywhere else for raw oysters. Come here from 3-6p and enjoy!  Drinks are all on special too.",5
1,GBTPC53ZrG1ZBY3DT8Mbcw,Luke,customers,-0.477389073,"I have been to LUKE four times and this was my worst experience.  There was a hair in my Crawfish Bisque so I quietly brought it to the bartender's attention.  She quickly removed the cup of soup and came back with a manager.  This is where I became disappointed.  The manager could not look me in my eyes and she never said, ""I'm sorry"" for the haor in my food.  She stated that it never should have happened (I agree) and she hopes I will eat there again.  She told me about the three new desserts and offered to give me a complimentary dessert or a new cup of soup.  Sometimes all you need to do is say, ""I'm sorry this happened.""  I hope there's some additional training on how to talk to customers and resolve issues in a professional manner in the future.  Otherwise, I love eating here!",1,savannah,0.446693385,"Had been suffering from Luke withdrawal since our last trip to N.O. during JazzFest 2010.  Yes I bought John Besh's first cookbook and have enjoyed making many of the recipes - but I have been craving Luke's redfish court-boullion (Friday special) and have been nervous about tackling the recipe. 
Husband and I were recently on a chartered cruise that had a port stop in New Orleans - on a Tuesday. A few weeks prior I contacted the restaurant with a special request for the court-boullion for lunch on that day.  There was a nice email exchange with a couple of folks and the answer was a very gracious YES and I was so excited!
Our lunch that day at Luke was the absolute highlight of our wonderful but too short visit to the city. Our server Savannah was absolutely delightful - I thanked her for accommodating my special request (I don't think I've ever ordered ""off the menu"" before so this for me was a very special request). She explained that they always like to accommodate special requests ***as long as they are given ample notice*** which I think is so generous. And certainly I would never have requested the court-boullion last minute, after all, I've seen the recipe!!! Anyway we settled in and husband ordered the crispy Brussels sprouts - so delicious and imaginatively prepared. He also ordered the wiener schnitzel that he fondly remembered from previous visits - it was fork tender with a crispy yummy crust - huge portion. I ordered the crab bisque to accompany the redfish court-boullion. Am not exaggerating when I say that the bisque was the most delicious soup I have ever tasted. The court-boullion may have even been better than I remember - the flavor combination is unique and such a taste treat. We also enjoyed a unique appetizer of pate with various mustards and relishes.  Okay - then it gets even better. We ordered the bread pudding - but of course, because I remembered it to be the very best anywhere. It still is the very best anywhere. The sauce is killer - a butter rum goooooooey ooze of deliciousness with crispy sugared roasted pecans all over, with a huge scoop of homemade vanilla ice cream on top. Oh no, and we also were served a warm cherry apple strudel with salted caramel ice cream on the side.  I am salivating just remembering all this while writing.  
Needless to say, our experience went far beyond our already high expectations.  We were treated like royalty- or maybe dear family (even better) by Savannah and staff, we were thanked by the assistant manager as we left.  All in all it was an unforgettable experience and we cannot wait to return.",5
2,GBTPC53ZrG1ZBY3DT8Mbcw,Luke,terrible,-0.900272143,"this place SUCKS. Terrible service and overpriced mediocre food. This is my second time with the same results. I gave them the benefit of the doubt -perhaps having an off night the first time I went, but it was the exact same the second time around. Nothing innovative. They churn tables out and could care less that you are spending upwards of $150 for two. Save this one for the tourists.",1,sprouts amazing,0.58838101,"Amazing meal great service. It's not cheap but so far it's one of our best meals in Nola. The crawfish etouffee is good but not worth ordering given how much better all the other meals are.

The brussel sprouts are amazing!",5
3,GBTPC53ZrG1ZBY3DT8Mbcw,Luke,second,-0.168209185,"this place SUCKS. Terrible service and overpriced mediocre food. This is my second time with the same results. I gave them the benefit of the doubt -perhaps having an off night the first time I went, but it was the exact same the second time around. Nothing innovative. They churn tables out and could care less that you are spending upwards of $150 for two. Save this one for the tourists.",1,richie rich,0.557400374,"This restaurant is 5 star food and service. We went here for a bachelorette party and they brought us complimentary champagne toast. Richie Rich was wonderfully nice and knew the perfect entrée for us by only a few clues to what we like. The food is French German influence so if you don't like that then this isn't the place for you. Finally, try the bread pudding! Amazing",5
4,GBTPC53ZrG1ZBY3DT8Mbcw,Luke,open,0.000688356,Are u kidding me? Not only were there 8 tables open when we walked in and they told us a 3 hour wait... We were about to order a drink at the bar when one of the waiters purposely kicked me in the back of the foot when I wasn't looking and tried to play it off like one of their other hostesses did it.  Way many better other options in new orleans,1,tristan,0.596978895,"Our Waiter was Tristan who was so patient & helpful in answering all our questions & service was tops!!  This Restaurant will be a NEVER MISS when we visit New Orleans.  The Décor was warm & inviting.  The Food was AMAZING. There were 4 of us, 2 couples. We each ate something different & every bite was savored!!  And Prices were very reasonable.",5
5,qb28j-FNX1_6xm7u372TZA,Gumbo Shop,mushy,0.024611242,Great crawfish corn chowder but the crawfish in the crawfish etouffee were small and mushy.   The ones in the chowder were plump and tasty.  The etouffee sauce was very tasty.  I asked at other restaurants and was told crawfish become mushy when they are in the sauce too long.  Perhaps they were serving the previous evening's leftover etouffee for the next day's lunch?,1,tim,-0.025499424,"First restaurant I ever went to on my very first visit to NOLA!  Since that first bite, I have gone back every time I go to New Orleans, its a staple for me.  First off, be patient, because when its packed, the line is so long!  But its totally worth it.  Once inside, be prepared to feast, feast and feast!!!  The ambiance is super cute.  There is seating inside and out in a small courtyard.  

My staples when going are:  The bloody mary to drink, the trio (which comes gumbo, jambalaya and red beans and rice), and the bread pudding for dessert!!  I leave breathing fire... but soooo worth it!!  I don't even live in Louisiana, but when I go to NOLA, this is the place I must always go to.  The seafood gumbo is always on point.  Perfect amount of okra to shrimp.  The red beans and rice is perfectly spiced and spicy.  And the jambalaya is filled with deliciousness that I can't even stand it!  Spicy andouille sausage, mixed in with rice and spices.... I'm practically drooling right now.  And the bread pudding.  Forget about it.  Warm whiskey sauce poured on top, melting into the soft, warm bread pudding.  *sigh*.

I love this place so much, that my sister even got me the cookbook.  Oh yes, I make gumbo right here in my kitchen.  Favorite place to go... and a MUST GO for all!!!",5
6,qb28j-FNX1_6xm7u372TZA,Gumbo Shop,frozen,-0.053065586,"Awful, simply awful. I was completely embarrassed at the poor quality of food when I had guests in town. We left starving because all nine of us didn't eat most of our food. Spinach dip? Um, had to be frozen w/store bought chips-had no flavor, no seasoning.
My roast beef po-boy-nasty. The dark brown gravy was joyless, tasteless, nothing I'd ever recommend. I have no idea how this place stays in business. After leaving there, we went and ate somewhere else an hour later. I have not been that disappointed ever when eating out here in NOLA.",1,everyday,-0.010897283,"Bread pudding.  Don't come here and not get the bread pudding.  There is probably some old LA law about coming to Gumbo Shop and not eating the bread pudding.  My gf and I came here everyday (sometimes twice) in our 4 night trip to the big EZ.

Oh, the other food is pretty good too.",5
7,qb28j-FNX1_6xm7u372TZA,Gumbo Shop,waste,0.06335351,"Came here after it was highly recommended by a close friend. We did come around 9 so maybe it was just a bad night. We order the complete dinner. Seafood okra, creole combination platter, turnip greens, and bread pudding. ALL the courses came out luke warm. We had to send the food back each time. Was very disappointing. The bread pudding was even cold on the inside. 

Probably the worst meal since coming down here. I felt bad I wasted my cousins time and money after looking forward to this place all weekend. Server saw we complained about the food temperature but never apologized or tried to compensate us.",1,soooooo,-0.016157441,Are there everyday I was in NOLA on multiple occasions. I even bought the cookbook. Soooooo yummy.,5
8,qb28j-FNX1_6xm7u372TZA,Gumbo Shop,awful,-0.050072492,"Awful, simply awful. I was completely embarrassed at the poor quality of food when I had guests in town. We left starving because all nine of us didn't eat most of our food. Spinach dip? Um, had to be frozen w/store bought chips-had no flavor, no seasoning.
My roast beef po-boy-nasty. The dark brown gravy was joyless, tasteless, nothing I'd ever recommend. I have no idea how this place stays in business. After leaving there, we went and ate somewhere else an hour later. I have not been that disappointed ever when eating out here in NOLA.",1,boudin creole,-0.046930498,"Had a little of a lot of things: chicken okra gumbo, Louisiana BBQ shrimp, garlic mashed potatoes and boudin with creole mustard. Everything was really good, and loved that you could get side dishes galore and try everything. Plus they give you plenty of po boy bread. Wait staff was super friendly and helpful too. Highly recommended for good Louisiana meal",5
9,qb28j-FNX1_6xm7u372TZA,Gumbo Shop,trap,-0.09620679,Some of the saddest worst gumbo I've ever had. Three whole pieces of seafood and like four pieces of okra. Terrible po boy. Tourist trap! Don't do it. Go to Dooky Chase's for real food. Boooooo!,1,boudin creole mustard,0.024870292,"Had a little of a lot of things: chicken okra gumbo, Louisiana BBQ shrimp, garlic mashed potatoes and boudin with creole mustard. Everything was really good, and loved that you could get side dishes galore and try everything. Plus they give you plenty of po boy bread. Wait staff was super friendly and helpful too. Highly recommended for good Louisiana meal",5
