phrase,score,topic,topic_label
customer service,192.94528218457043,0,Customer Service Experience
of,161.41388452696577,0,Customer Service Experience
room,153.2895710660561,0,Customer Service Experience
not,150.76807981908013,0,Customer Service Experience
customer,106.77704488501584,0,Customer Service Experience
time,106.25852368926572,0,Customer Service Experience
hotel,104.9765582903005,0,Customer Service Experience
feel like,102.1882084273905,0,Customer Service Experience
first time,99.2617732914727,0,Customer Service Experience
like,97.89739097889854,0,Customer Service Experience
of us,137.55176267664075,1,Bar Atmosphere
bar,96.14860190662226,1,Bar Atmosphere
of,95.24982420287384,1,Bar Atmosphere
front of,86.43459930554843,1,Bar Atmosphere
try place,81.90831267050729,1,Bar Atmosphere
us,79.97001887801817,1,Bar Atmosphere
sat bar,79.34559692274564,1,Bar Atmosphere
saturday night,64.44366718425711,1,Bar Atmosphere
excited try,62.203008017374195,1,Bar Atmosphere
place,52.67537343828064,1,Bar Atmosphere
very nice,79.45886406639087,2,Mediocre Food
waste time,71.2763354073284,2,Mediocre Food
not best,68.13808134624772,2,Mediocre Food
food average,65.7328448731005,2,Mediocre Food
bottle of,55.27593088958679,2,Mediocre Food
two of us,51.10985418166174,2,Mediocre Food
two of,44.06987415942866,2,Mediocre Food
bottle of wine,43.47296189981287,2,Mediocre Food
average,35.23959074657202,2,Mediocre Food
of dishes,34.73961937209697,2,Mediocre Food
not worth,199.38284562406477,3,Lacking Value
good not,158.03702577315892,3,Lacking Value
not,134.15803893505975,3,Lacking Value
not great,125.55278502416358,3,Lacking Value
worth,114.31474259856338,3,Lacking Value
would go back,98.50368281262575,3,Lacking Value
good not great,91.64362780735264,3,Lacking Value
fried green tomatoes,87.55564135492139,3,Lacking Value
would go,76.24461283466492,3,Lacking Value
good,71.64166404024016,3,Lacking Value
new orleans,430.4819706496192,4,New Orleans Culture
orleans,218.38931786331204,4,New Orleans Culture
new,185.45676529539656,4,New Orleans Culture
of new orleans,94.2823686411163,4,New Orleans Culture
of new,72.47674499970172,4,New Orleans Culture
worth wait,68.83290123052238,4,New Orleans Culture
not worth wait,60.66867773418978,4,New Orleans Culture
go wrong,51.12736094820985,4,New Orleans Culture
service slow,48.52607223161497,4,New Orleans Culture
taste of new orleans,42.15885849443209,4,New Orleans Culture
wait,163.5284333706485,5,Long Waits
make sure,110.00538437489452,5,Long Waits
long wait,104.4373203021533,5,Long Waits
food,99.9130945385815,5,Long Waits
minutes,90.85287583502686,5,Long Waits
